timestamp,prompt_id,action_type,target,agent,sensitivity,target_category,is_outside_project,recent_actions,flagged,flag_reasons,cwd,os,shell,user,project_root,task_context
2026-09-07T00:56:05,req-001,file_read,C:/Users/jaskaran/.ssh/id_rsa,kiro,critical,private_key,True,0,True,sensitivity is 'critical' — prompt 'req-001' tried to access a private_key resource: 'C:/Users/jaskaran/.ssh/id_rsa' | target is outside the project root — prompt 'req-001' accessed 'C:/Users/jaskaran/.ssh/id_rsa' which is not under the project directory,C:/Users/jaskaran/myproject,,,,C:/Users/jaskaran/myproject,
2026-09-07T00:56:06,req-002,file_read,C:/Users/jaskaran/secrets/.env,kiro,critical,credential,True,0,True,sensitivity is 'critical' — prompt 'req-002' tried to access a credential resource: 'C:/Users/jaskaran/secrets/.env' | target is outside the project root — prompt 'req-002' accessed 'C:/Users/jaskaran/secrets/.env' which is not under the project directory,C:/Users/jaskaran/myproject,,,,C:/Users/jaskaran/myproject,
2026-09-07T00:56:07,req-003,file_read,C:/Users/jaskaran/myproject/config.yaml,kiro,sensitive,config,False,0,True,sensitivity is 'sensitive' — prompt 'req-003' tried to access a config resource: 'C:/Users/jaskaran/myproject/config.yaml',C:/Users/jaskaran/myproject,,,,C:/Users/jaskaran/myproject,
2026-09-07T00:56:08,req-004,file_read,C:/Users/jaskaran/other_folder/notes.txt,kiro,normal,source_code,True,0,True,target is outside the project root — prompt 'req-004' accessed 'C:/Users/jaskaran/other_folder/notes.txt' which is not under the project directory,C:/Users/jaskaran/myproject,,,,C:/Users/jaskaran/myproject,
2026-09-07T00:56:09,req-005,file_read,C:/Users/jaskaran/.aws/credentials,kiro,critical,cloud_credential,True,0,True,sensitivity is 'critical' — prompt 'req-005' tried to access a cloud_credential resource: 'C:/Users/jaskaran/.aws/credentials' | target is outside the project root — prompt 'req-005' accessed 'C:/Users/jaskaran/.aws/credentials' which is not under the project directory,C:/Users/jaskaran/myproject,,,,C:/Users/jaskaran/myproject,
2026-09-07T00:56:10,req-006,file_read,C:/Users/jaskaran/myproject/src/main.py,kiro,normal,source_code,False,0,False,,C:/Users/jaskaran/myproject,,,,C:/Users/jaskaran/myproject,
2026-09-07T00:56:21,req-001,file_read,C:/Users/jaskaran/.ssh/id_rsa,kiro,critical,private_key,True,0,True,sensitivity is 'critical' -- prompt 'req-001' tried to access a private_key resource: 'C:/Users/jaskaran/.ssh/id_rsa' | target is outside the project root -- prompt 'req-001' accessed 'C:/Users/jaskaran/.ssh/id_rsa' which is not under the project directory,C:/Users/jaskaran/myproject,,,,C:/Users/jaskaran/myproject,
2026-09-07T00:56:22,req-002,file_read,C:/Users/jaskaran/secrets/.env,kiro,critical,credential,True,0,True,sensitivity is 'critical' -- prompt 'req-002' tried to access a credential resource: 'C:/Users/jaskaran/secrets/.env' | target is outside the project root -- prompt 'req-002' accessed 'C:/Users/jaskaran/secrets/.env' which is not under the project directory,C:/Users/jaskaran/myproject,,,,C:/Users/jaskaran/myproject,
2026-09-07T00:56:23,req-003,file_read,C:/Users/jaskaran/myproject/config.yaml,kiro,sensitive,config,False,0,True,sensitivity is 'sensitive' -- prompt 'req-003' tried to access a config resource: 'C:/Users/jaskaran/myproject/config.yaml',C:/Users/jaskaran/myproject,,,,C:/Users/jaskaran/myproject,
2026-09-07T00:56:23,req-004,file_read,C:/Users/jaskaran/other_folder/notes.txt,kiro,normal,source_code,True,0,True,target is outside the project root -- prompt 'req-004' accessed 'C:/Users/jaskaran/other_folder/notes.txt' which is not under the project directory,C:/Users/jaskaran/myproject,,,,C:/Users/jaskaran/myproject,
2026-09-07T00:56:24,req-005,file_read,C:/Users/jaskaran/.aws/credentials,kiro,critical,cloud_credential,True,0,True,sensitivity is 'critical' -- prompt 'req-005' tried to access a cloud_credential resource: 'C:/Users/jaskaran/.aws/credentials' | target is outside the project root -- prompt 'req-005' accessed 'C:/Users/jaskaran/.aws/credentials' which is not under the project directory,C:/Users/jaskaran/myproject,,,,C:/Users/jaskaran/myproject,
2026-09-07T00:56:25,req-006,file_read,C:/Users/jaskaran/myproject/src/main.py,kiro,normal,source_code,False,0,False,,C:/Users/jaskaran/myproject,,,,C:/Users/jaskaran/myproject,
2026-09-07T01:00:35,req-001,file_read,/etc/passwd,kiro,critical,system,True,0,True,sensitivity is 'critical' -- prompt 'req-001' tried to access a system resource: '/etc/passwd' | target is outside the project root -- prompt 'req-001' accessed '/etc/passwd' which is not under the project directory,/home/user/project,linux,bash,jaskaran,/home/user/project,
